time,A01,A02,A03,A04,A05,A06,A07,A08,A09,B01,B02,B03,B04,B05,B06,B07,B08,B09
2022-06-28 15:03:11.195,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-06-28 15:03:17.595,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-06-28 15:03:27.769,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-08-03 11:25:05.703,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-08-03 11:25:31.603,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-08-03 11:26:39.125,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2021-11-01 11:29:43.625,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
2021-11-01 11:30:00.725,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-03-30 12:31:57.405,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
2022-03-30 12:32:14.609,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-04-05 13:43:27.677,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
2022-04-05 13:43:51.283,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-04-17 14:00:24.801,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
2022-04-17 14:00:49.703,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-05-19 00:09:46.128,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
2022-05-19 00:10:10.620,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-05-19 00:10:13.520,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
2022-05-19 00:10:20.220,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-05-19 00:10:23.015,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-06-06 23:02:05.810,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
2022-06-06 23:02:10.750,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-06-06 23:02:21.360,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0
2022-06-28 15:03:11.082,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0
